2.7283673684210527e-09 0*vps_amp
2.7383673684210528e-09 1*vps_amp
3.7283673684210525e-09 1*vps_amp
3.7383673684210531e-09 0*vps_amp
4.4248715789473687e-09 0*vps_amp
4.4348715789473684e-09 1*vps_amp
5.4248715789473685e-09 1*vps_amp
5.4348715789473691e-09 0*vps_amp
5.4644800000000010e-09 0*vps_amp
5.4744800000000007e-09 1*vps_amp
6.4644800000000008e-09 1*vps_amp
6.4744799999999998e-09 0*vps_amp
1.7799557894736842e-08 0*vps_amp
1.7809557894736840e-08 1*vps_amp
1.8799557894736841e-08 1*vps_amp
1.8809557894736842e-08 0*vps_amp
2.6232235789473685e-08 0*vps_amp
2.6242235789473690e-08 1*vps_amp
2.7232235789473688e-08 1*vps_amp
2.7242235789473689e-08 0*vps_amp
3.0487615789473685e-08 0*vps_amp
3.0497615789473683e-08 1*vps_amp
3.1487615789473680e-08 1*vps_amp
3.1497615789473685e-08 0*vps_amp
4.2169395789473686e-08 0*vps_amp
4.2179395789473690e-08 1*vps_amp
4.3169395789473688e-08 1*vps_amp
4.3179395789473686e-08 0*vps_amp
5.2153648421052632e-08 0*vps_amp
5.2163648421052630e-08 1*vps_amp
5.3153648421052628e-08 1*vps_amp
5.3163648421052633e-08 0*vps_amp
5.4434944210526319e-08 0*vps_amp
5.4444944210526318e-08 1*vps_amp
5.5434944210526322e-08 1*vps_amp
5.5444944210526320e-08 0*vps_amp
6.1927395789473696e-08 0*vps_amp
6.1937395789473694e-08 1*vps_amp
6.2927395789473692e-08 1*vps_amp
6.2937395789473690e-08 0*vps_amp
6.4656911578947366e-08 0*vps_amp
6.4666911578947378e-08 1*vps_amp
6.5656911578947375e-08 1*vps_amp
6.5666911578947373e-08 0*vps_amp
6.5666911579947375e-08 0*vps_amp
6.5674923157894746e-08 1*vps_amp
6.6664923157894744e-08 1*vps_amp
6.6674923157894742e-08 0*vps_amp
7.2279633684210532e-08 0*vps_amp
7.2289633684210530e-08 1*vps_amp
7.3279633684210527e-08 1*vps_amp
7.3289633684210526e-08 0*vps_amp
9.2763789473684208e-08 0*vps_amp
9.2773789473684220e-08 1*vps_amp
9.3763789473684217e-08 1*vps_amp
9.3773789473684215e-08 0*vps_amp
9.4709644210526331e-08 0*vps_amp
9.4719644210526329e-08 1*vps_amp
9.5709644210526327e-08 1*vps_amp
9.5719644210526325e-08 0*vps_amp
1.0514730526315789e-07 0*vps_amp
1.0515730526315788e-07 1*vps_amp
1.0614730526315789e-07 1*vps_amp
1.0615730526315789e-07 0*vps_amp
1.0651729684210527e-07 0*vps_amp
1.0652729684210527e-07 1*vps_amp
1.0751729684210528e-07 1*vps_amp
1.0752729684210526e-07 0*vps_amp
1.1065042947368422e-07 0*vps_amp
1.1066042947368422e-07 1*vps_amp
1.1165042947368423e-07 1*vps_amp
1.1166042947368421e-07 0*vps_amp
1.2071556842105264e-07 0*vps_amp
1.2072556842105263e-07 1*vps_amp
1.2171556842105264e-07 1*vps_amp
1.2172556842105262e-07 0*vps_amp
1.2719786736842108e-07 0*vps_amp
1.2720786736842106e-07 1*vps_amp
1.2819786736842107e-07 1*vps_amp
1.2820786736842106e-07 0*vps_amp
1.2840900526315790e-07 0*vps_amp
1.2841900526315789e-07 1*vps_amp
1.2940900526315790e-07 1*vps_amp
1.2941900526315791e-07 0*vps_amp
1.3233566736842107e-07 0*vps_amp
1.3234566736842105e-07 1*vps_amp
1.3333566736842106e-07 1*vps_amp
1.3334566736842105e-07 0*vps_amp
1.3866307052631580e-07 0*vps_amp
1.3867307052631581e-07 1*vps_amp
1.3966307052631579e-07 1*vps_amp
1.3967307052631581e-07 0*vps_amp
1.4933729473684213e-07 0*vps_amp
1.4934729473684212e-07 1*vps_amp
1.5033729473684213e-07 1*vps_amp
1.5034729473684211e-07 0*vps_amp
1.5494004631578949e-07 0*vps_amp
1.5495004631578948e-07 1*vps_amp
1.5594004631578949e-07 1*vps_amp
